#変形角	gamma	gamma2	変位計1	変位計2	変位計3	変位計4	変位計5	変位計6	変位計7	変位計8	変位計9	変位計10	変位計11	変位計12	変位計13	荷重14	荷重0
0.0540536082474227	0.00579381443298969	134.56	3.48	1.12	0.02	4.44	-0.47	-2.16	1.21	10.9	22.76	17.94	16.2	2.15	1138	535
0.0540659793814433	0.00587628865979381	134.57	3.46	1.11	0	4.57	-0.46	-2.18	1.26	10.88	23.9	17.96	16.45	2.2	1108	531
0.0540164948453608	0.00597938144329897	134.56	3.57	1.14	0.02	4.68	-0.47	-2.2	1.32	10.88	25.14	17.94	16.75	2.25	1070	525
0.054020618556701	0.00604123711340206	134.57	3.57	1.13	0.01	4.75	-0.47	-2.21	1.42	10.86	26.02	17.92	16.95	2.3	1010	508
0.0538845360824742	0.00616494845360825	134.57	3.9	1.23	0.01	4.83	-0.6	-2.27	2.07	10.36	29.74	16.74	17.4	2.45	418	317
0.0538020618556701	0.00616494845360825	134.57	4.1	1.24	0.01	4.65	-0.72	-2.39	2.13	10.16	30.42	16.74	17.35	2.4	390	305
0.0537979381443299	0.00610309278350515	134.57	4.11	1.23	-0.02	4.6	-0.71	-2.38	2.15	10.06	30.42	16.38	17.15	2.35	278	258
0.0537896907216495	0.00608247422680412	134.56	4.12	1.22	0.01	4.57	-0.71	-2.38	2.14	10.04	30.42	16.22	17.1	2.35	245	249
0.0538020618556701	0.00597938144329897	134.57	4.1	1.14	0.01	4.47	-0.69	-2.37	2.15	10	30.4	15.4	16.85	2.35	175	219
0.053839175257732	0.00589690721649485	134.57	4.01	1.14	0.01	4.37	-0.69	-2.36	2.14	9.9	30.38	14.72	16.6	2.3	130	199
0.0538432989690722	0.00585567010309278	134.56	3.99	1.14	0.01	4.29	-0.68	-2.35	2.15	9.72	30.18	14.3	16.45	2.25	78	179
0.053839175257732	0.00569072164948454	134.56	4	1.13	0.02	4.11	-0.69	-2.34	2.14	9.42	29.72	13.54	16.05	2.25	18	150
0.0538845360824742	0.00544329896907217	134.56	3.89	1.04	0.02	3.8	-0.68	-2.3	2.15	9.16	29.44	12.12	15.3	2.1	3	131
0.0538886597938144	0.00523711340206186	134.57	3.89	1.03	0.01	3.55	-0.67	-2.29	2.16	8.96	29.38	10.92	14.75	2.05	5	111
0.0539257731958763	0.0051340206185567	134.56	3.79	1.03	0.02	3.46	-0.67	-2.28	2.13	8.8	29.34	10.38	14.45	2	-15	104
0.0539546391752577	0.00468041237113402	134.56	3.72	1.02	0	2.99	-0.67	-2.22	1.97	8.6	29.28	6.36	13.2	1.85	-8	85
0.0532701030927835	0.00445360824742268	132.76	3.58	0.93	0.01	2.74	-0.69	-2.17	1.89	8.1	28.9	5.04	12.5	1.7	-45	61
0.0503463917525773	0.00418556701030928	125.55	3.46	0.94	0.02	2.5	-0.69	-2.13	1.83	7.44	27.72	4.98	11.85	1.7	-60	48
0.0488247422680412	0.00410309278350515	121.77	3.37	0.92	0.01	2.38	-0.68	-2.1	1.79	7.14	26.86	5	11.5	1.55	-63	40
0.0456618556701031	0.00379381443298969	114.01	3.28	0.82	0.02	2.12	-0.68	-2.04	1.69	6.78	24.74	5.04	10.7	1.5	-58	29
0.0413443298969072	0.00342268041237113	103.32	3.06	0.74	0.01	1.83	-0.7	-1.94	1.58	6.28	21.86	5.14	9.65	1.35	-65	19
0.0371340206185567	0.00307216494845361	93.01	2.96	0.72	0.01	1.53	-0.69	-1.84	1.61	5.74	19.4	5.24	8.65	1.2	-75	11
0.0334226804123711	0.00274226804123711	83.79	2.74	0.63	0	1.22	-0.71	-1.77	1.8	5.38	17	5.28	7.75	1.1	-78	0
0.0331134020618557	0.00274226804123711	82.93	2.63	0.62	0.01	1.2	-0.7	-1.75	1.82	5.36	16.8	5.26	7.75	1.1	-63	9
0.0331134020618557	0.00274226804123711	82.91	2.61	0.62	0.03	1.21	-0.72	-1.75	1.83	5.36	16.8	5.3	7.75	1.1	-63	10
